Loja;Num.Cupom;SKU;Familia;Quantidade Comprada;Ativacao Necessaria;Data Cupom;Preco Venda Unidade;Preco Venda Promocao;Desconto Unitario;Desconto Total;Percentual Desconto;Custo Produto;Margem Produto;Margem Promocao
01;229449;436441;CAFE MARAJA 500G;4,0;2,0;2024-09-04;16,99;14,49;2,4999999999999982;9,999999999999993;14,71;11,809749;30,49;18,497246376811596
01;229483;11921;BISC AYMORE SALPET 200G  ;4,0;3,0;2024-09-04;4,49;3,99;0,5;2,0;11,14;2,2378160000000005;50,16;43,91438596491227
01;229495;241540;PERNIL DIANTEIRO KG;2,07;2,0;2024-09-04;11,99;10,09;1,9000000000000004;3,933;15,85;13,359258;-11,42;-32,40097125867196
01;229511;188050;AP BARBEAR GILLETTE ULT GRIP UN;4,0;4,0;2024-09-04;4,99;2,89;2,1;8,4;42,08;-3,9421000000000004;179,0;236,40484429065745
01;229531;162692;SAB ALBANY SUAVE 85G;3,0;3,0;2024-09-04;1,99;1,79;0,19999999999999996;0,5999999999999996;10,05;0,8119199999999999;59,2;54,64134078212292
01;229549;22972;DETERG LIQ YPE 500ML;5,0;3,0;2024-09-04;2,69;2,49;0,19999999999999973;0,9999999999999982;7,43;1,6113099999999998;40,1;35,28875502008034
01;229550;277983;MAC INST NINFA 70G;5,0;4,0;2024-09-04;1,45;1,19;0,26;1,3000000000000007;17,93;0,754435;47,97;36,602100840336135
01;229566;687126;SAB ALBANY SUAVE 85G;3,0;3,0;2024-09-04;1,99;1,79;0,19999999999999996;0,5999999999999996;10,05;0,8119199999999999;59,2;54,64134078212292
01;229569;22989;DETERG LIQ YPE 500ML;3,0;3,0;2024-09-04;2,69;2,49;0,19999999999999973;0,5999999999999996;7,43;1,6113099999999998;40,1;35,28875502008034
01;229569;486569;SAB ALBANY SUAVE 85G;6,0;3,0;2024-09-04;1,99;1,79;0,19999999999999996;1,1999999999999993;10,05;0,8119199999999999;59,2;54,64134078212292
01;229685;641807;REF MID 20G SABORES;3,0;3,0;2024-09-02;1,19;1,09;0,09999999999999987;0,2999999999999994;8,4;-0,3966270000000002;133,33;136,38779816513764
01;229704;245500;ACEM KG;2,08;2,0;2024-09-05;24,99;24,89;0,09999999999999787;0,2079999999999984;0,4;33,076764;-32,36;-32,891779831257516
01;229704;11921;BISC AYMORE SALPET 200G  ;3,0;3,0;2024-09-05;4,49;3,99;0,5;1,5;11,14;2,2378160000000005;50,16;43,91438596491227
01;229704;181372;FEIJAO PRETO DUPRATO 1KG ;8,0;3,0;2024-09-05;7,99;7,29;0,7000000000000002;5,600000000000001;8,76;4,157996;47,96;42,963017832647466
01;229712;626743;MILHO VERDE MINAS MAIS 170G LATA  ;4,0;3,0;2024-09-02;3,89;3,29;0,6000000000000001;2,4000000000000004;15,42;1,0549680000000001;72,88;67,93410334346504
